"","gene","colon","heart","jejunum","kidney","liver","lung","cluster","membership"
"1","1110032F04Rik",-0.527181857654402,0.117771868532321,-0.211622846831007,1.92545634828418,-0.881648400724187,-0.422775111606906,1,0.880509124499632
"2","1500026H17Rik",-0.030861221705254,-0.676971926461058,-0.603862091715652,1.98632084357981,-0.298090207943717,-0.37653539575413,1,0.956993725361794
"3","1700028J19Rik",0.524026589608798,-0.589162110672885,-0.576385885132185,1.82789332296471,-0.616958732343736,-0.5694131844247,1,0.815123422213174
"4","1810044D09Rik",0.00353805994885437,-0.156749439701321,-0.759469872604245,1.77913644369055,0.221724243527787,-1.08817943486163,1,0.769301312217457
"5","2310030G06Rik",-0.243801240808919,-1.15662165003759,-0.0126850103110772,1.8641127143432,-0.339536440160621,-0.111468373024999,1,0.832891697916689
"6","2310043L19Rik",-0.306153950605142,-0.421082351130402,-0.419590441170507,2.03847593405782,-0.445824595575884,-0.445824595575884,1,0.980646414680389
"7","2310069B03Rik",0.263914980602174,0.0878152142978714,-0.769327947595193,1.82456392333117,-0.780818288239411,-0.626147882396616,1,0.817683568030227
"8","2700062C07Rik",0.0916914366979247,-1.51449174457038,-0.656340155848604,1.38904426700408,0.121928534193263,0.568167662523715,1,0.513592490399571
"9","2810029C07Rik",-0.451902522925032,-0.423346345614795,-0.523062736175723,2.01751851048393,-0.510697733300143,-0.10850917246824,1,0.978634538777609
"10","3110045C21Rik",-0.342470066206155,-0.468945993463071,-0.400338820417011,2.03929679438163,-0.387422216174131,-0.440119698121258,1,0.980370956274033
"11","4930545H06Rik",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"12","4930564D02Rik",0.0935374580750053,0.741256779634718,-0.805046386884563,1.58034492294397,-0.805046386884563,-0.805046386884563,1,0.586593446775917
"13","4933429O19Rik",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"14","9030619P08Rik",0.856663127737341,-0.792070182184287,-0.798199153782106,1.53238080538617,0.00952581060455876,-0.808300407761682,1,0.585043701498844
"15","9530014B07Rik",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"16","A230028O05Rik",0.61617543537204,0.356997521519301,-1.47057081049941,1.00918253978743,-1.02429683053903,0.512512144359666,1,0.313582081682809
"17","A330040F15Rik",-0.654408321645238,-1.13317123779083,-0.734777832892514,1.32271017024655,0.22657080964722,0.973076412434813,1,0.472697987435845
"18","A530053G22Rik",-0.429417000987836,-0.429417000987836,-0.413501221586136,2.04075285102516,-0.396734671116844,-0.37168295634651,1,0.982639327522891
"19","A530065N20Rik",-0.112617535763742,-0.264889279784667,-0.720584153583635,1.97883088828745,-0.657494751644807,-0.223245167510603,1,0.959329026087598
"20","A630076J17Rik",-0.562661524050244,-0.518939413485654,-0.562661524050244,1.92373059943524,0.283193386201148,-0.562661524050244,1,0.892860801814729
"21","A730020M07Rik",-0.716275794495828,0.722246375387426,-0.672251616515793,1.71588611573923,-0.620422488976898,-0.429182591138138,1,0.69418752764096
"22","AA536875",-0.402627364956134,-0.405685324602286,-0.408768795925912,2.0412276346127,-0.412073074564182,-0.412073074564182,1,0.981994681892837
"23","Aaas",-1.05555878416598,-0.145714412438114,-0.130584513661237,1.80391195018161,-0.726941940090022,0.254887700173737,1,0.788499433830768
